,semester,college,department,course_id,course_code,memo,name,chinese_name,limit,reg_num,time,credit,hours,lecturer, type,type,summary
33,111 Fall Semester,Center of General Education,College of Humanities and Social Science,514006,HSCH00002,,"Introduction of Visual Art
Art and CulturesGECLDAHA",視覺藝術概論,30,45,R34-HC103[GF],2,2,林合懿,,Required,
34,111 Fall Semester,Center of General Education,College of Humanities and Social Science,514008,HSCH10016,,"Creative City and Sustainable Ecology
Science, Technology and Society[ECE,CCS,COE,COS,CBT,CHK,CI] GECIDAST",創意城市與永續生態,60,78,F56-F110[GF],2,2,曾聖凱,,Elective,
35,111 Fall Semester,Center of General Education,College of Humanities and Social Science,514009,HSCH10017,,"Anime(ACG or Otaku) Culture and Internet Communication
GECLDASC",動漫文化與網路傳播,25,53,M56-HC105[GF],2,2,羅禾淋,,Elective,
36,111 Fall Semester,Center of General Education,College of Humanities and Social Science,514010,HSCH10024,,"Story and Scenario Design
[CCS,COS,CHS] GECIDASC",故事與情境設計,20,14,S34-HC104[GF],2,2,李峻德,,Elective,
37,111 Fall Semester,Center of General Education,College of Humanities and Social Science,514013,HSCH10009,,"Contemporary Art and Cross-Disciplinary Design
Optional Liberal EducationGECLDAHA",當代藝術與跨域設計,20,17,T56-HC101[GF],2,2,林愛真,,Elective,
38,111 Fall Semester,Center of General Education,College of Humanities and Social Science,514019,HSCH10011,,"Foundation Design（I）
Optional Liberal EducationGECLDAHA",基本設計初階,25,36,T234-HC103[GF],3,3,劉靜純,,Required,
39,111 Fall Semester,Center of General Education,College of Humanities and Social Science,514021,HSCH10026,,"Creactive Copywriting and Story Scripting
LCCCGECL",創意文案與故事腳本,25,30,W34-HC101[GF],2,2,童一寧,,Elective,
40,111 Fall Semester,Center of General Education,College of Humanities and Social Science,514022,HSCH10029,,"Introduction to Entertainment Narratives
Optional Liberal Education[ECE,CCS,COS,CBT,CHS,CHK] GECIDASC",娛樂敘事概論,25,29,R56-HC104[GF],2,2,陳延昇,,Elective,
41,,Center of General Education,Department of Electrical and Computer Engineering,,,,,,,,,,,,,,
42,111 Fall Semester,Center of General Education,Department of Electrical and Computer Engineering,515102,EEEC10012,電機系大一新生優先。開放電機系A~F班、醫師工程師組同學自由選課。實驗時間為Mabc -ED713。 資工.電物.應數.機械.「108學年起入學奈米學士班」.生科系及管理學院不同意所屬學生採計通識學分。以電機系學生優先，請其他系所學生於開學後再開放加選。,"Introduction to Computers and Programming
FCQRGECL[COE,CI] GECI",計算機概論與程式設計,50,49,Mn56-ED203[GF],3,3,溫宏斌,,Required,
43,,Center of General Education,Department of Electrical and Computer Engineering,,,,,,,,,,,,,,
44,111 Fall Semester,Center of General Education,Department of Electrical and Computer Engineering,515103,EEEC10012,電機系大一新生優先。開放電機系A~F班、醫師工程師組同學自由選課。實驗時間為 Wabc-PC4 。資工.電物.應數.機械.「108學年起入學奈米學士班」.生科系及管理學院不同意所屬學生採計通識學分。以電機系學生優先，請其他系所學生於開學後再開放加選。,"Introduction to Computers and Programming
FCQRGECL[COE,CI] GECI",計算機概論與程式設計,60,56,T56R7-EE105[GF],3,3,蔡中庸,,Required,
45,,Center of General Education,Department of Electrical and Computer Engineering,,,,,,,,,,,,,,
46,111 Fall Semester,Center of General Education,Department of Electrical and Computer Engineering,515104,EEEC10012,電機系大一新生優先。開放電機系A~F班、醫師工程師組同學自由選課。課程R789與實作Rabc 教室安排於ED713。實驗時間為週四abc(ED713) 。資工.電物.應數.機械.「108學年起入學奈米學士班」.生科系及管理學院不同意所屬學生採計通識學分。以電機系學生優先，請其他系所學生於開學後再開放加選。,"Introduction to Computers and Programming
FCQRGECL[COE,CI] GECI",計算機概論與程式設計,50,32,R789abc-ED713[GF],3,3,黃紹華,,Required,
47,,Center of General Education,Department of Electrical and Computer Engineering,,,,,,,,,,,,,,
48,111 Fall Semester,Center of General Education,Department of Electrical and Computer Engineering,515105,EEEC10012,電機系大一新生優先。開放電機系A~F班、醫師工程師組同學自由選課。實驗時段Tabc-PC4(教室安排於資訊中心PC4)。 資工.電物.應數.機械.「108學年起入學奈米學士班」.生科系及管理學院不同意所屬學生採計通識學分。以電機系學生優先，請其他系所學生於開學後再開放加選。,"Introduction to Computers and Programming
FCQRGECL[COE,CI] GECI",計算機概論與程式設計,60,72,M56R2-EE105[GF],3,3,蔡中庸,,Required,
49,,Center of General Education,Department of Electrical and Computer Engineering,,,,,,,,,,,,,,
50,111 Fall Semester,Center of General Education,Department of Electrical and Computer Engineering,515108,EEEC10012,電機系大一新生優先。開放電機系A~F班、醫師工程師組同學自由選課。上課教室:工程五館635室。實驗時間為週一晚上abc(EE635)。資工.電物.應數.機械.「108學年起入學奈米學士班」.生科系及管理學院不同意所屬學生採計通識學分。以電機系學生優先，請其他系所學生於開學後再開放加選。,"Introduction to Computers and Programming
FCQRGECL[COE,CI] GECI",計算機概論與程式設計,50,53,M56R2-EE635[GF],3,3,王傑智,,Required,
51,,Center of General Education,Department of Electrical and Computer Engineering,,,,,,,,,,,,,,
52,111 Fall Semester,Center of General Education,Department of Electrical and Computer Engineering,515109,EEEC10012,"電機系大一新生優先。開放電機系A~F班、醫師工程師組同學自由選課。實驗時間為週一abc(地點:PC2,PC3)。資工.電物.應數.機械.「108學年起入學奈米學士班」.生科系及管理學院不同意所屬學生採計通識學分。以電機系學生優先，請其他系所學生於開學後再開放加選。","Introduction to Computers and Programming
FCQRGECL[COE,CI] GECI",計算機概論與程式設計,85,95,M56R2-ED116[GF],3,3,劉建男,,Required,
53,,Center of General Education,Department of Electrical and Computer Engineering,,,,,,,,,,,,,,
54,111 Fall Semester,Center of General Education,Department of Electrical and Computer Engineering,515110,EEEC10012,電機系大一新生優先。開放電機系A~F班、醫師工程師組同學自由選課。課程教室工四館ED713、實作於週二晚上Tabc (ED713)。資工.電物.應數.機械.「108學年起入學奈米學士班」.生科系及管理學院不同意所屬學生採計通識學分。以電機系學生優先，請其他系所學生於開學後再開放加選。,"Introduction to Computers and Programming
FCQRGECL[COE,CI] GECI",計算機概論與程式設計,50,43,M56R2-ED713[GF],3,3,黃育綸,,Required,
55,,Center of General Education,Department of Electrical and Computer Engineering,,,,,,,,,,,,,,
56,111 Fall Semester,Center of General Education,Department of Electrical and Computer Engineering,515118,EEEC20082,以電機系學生優先選課。,"Discrete Mathematics
FCQR[COE,CI] GECI",離散數學,100,119,M56R2-ED219[GF],3,3,帥宏翰,,Elective,
57,,Center of General Education,Department of Electrical and Computer Engineering,,,,,,,,,,,,,,
58,111 Fall Semester,Center of General Education,Department of Electrical and Computer Engineering,515121,EEEC10022,實驗課有兩個時段: 週二T 晚上abc or 週四R 晚上abc (EE635)，同學只要選一天即可,"Advanced Object-Oriented Programming
[COM] GECI",進階物件導向程式設計,100,20,W34F7-EE105[GF],3,3,蔡中庸,,Elective,
59,,Center of General Education,Department of Electrical and Computer Engineering,,,,,,,,,,,,,,
60,111 Fall Semester,Center of General Education,Department of Electrical and Computer Engineering,515184,EEEC20050,上課教室工程五館EE222A [English Medium Course] 此課程不得列入生醫所畢業學分。需修畢或同時修習電子實驗才可加選。加選為通識學生請於開學後找老師加簽。,"Biomedical Engineering Laboratory
[COE,CI] GECIENG",生醫工程實驗,18,16,F567-,3,3,蔡德明,,Elective,
61,,Center of General Education,Department of Photonics,,,,,,,,,,,,,,
62,111 Fall Semester,Center of General Education,Department of Photonics,515402,EEDP00003,,"Hands-on Experiments on Digital Optics
GECLDAST",數位光學實作,27,30,Tabc-CY201[GF],3,3,陳皇銘,,Elective,
63,111 Fall Semester,Center of General Education,Department of Photonics,515415,EEDP20012,[English Medium Course],"Signals and Systems
[COE,CI] GECIENG",訊號與系統,Unlimited,80,T5R67-EO103[GF],3,3,鄒志偉,,Required,
64,,Center of General Education,Department of Computer Science,,,,,,,,,,,,,,
65,111 Fall Semester,Center of General Education,Department of Computer Science,515601,CSCS20002,"外系生請於開學上網加選；資工系與電資學士班學生優先選課；上課教室：EC315、EC316；主開1年級；[另外1小時(第3節)以非同步上課方式; the third period of class will be held asynchronously],開放校際選修","LabVIEW Programming Language
[COE,CI] GECIDAST",LabVIEW 程式語言,70,82,"F34-EC315[GF],F34-EC316[GF]",3,3,蕭子健,,Elective,
66,,Center of General Education,College of Electrical and Computer Engineering,,,,,,,,,,,,,,
67,111 Fall Semester,Center of General Education,College of Electrical and Computer Engineering,510000,EEAE00002,電機院級(學)。基本素養-組織管理/博雅選修通識/通識校基本。 1.限大一、大二同學選修 、2.上課地點：李大嵩老師(T56-ED303)，方凱田老師(T56-ED525)、3.欲加選此課程請EMAIL:yujucheng@nycu.edu.tw，並告知三班志願序，以及修課原因。,"Global Engineering Leadership Cultivation and Discovery
Optional Liberal EducationFCOMGECL",全球工程領袖培育及探索系列,40,38,"T56-ED303[GF],T56-ED525[GF]",2,2,李大嵩、方凱田,,Elective,
68,,Center of General Education,College of Electrical and Computer Engineering,,,,,,,,,,,,,,
69,111 Fall Semester,Center of General Education,College of Electrical and Computer Engineering,510001,EEAE00002,電機院級(學)基本素養-組織管理/通識校基本/博雅選修通識 1.限大一、大二同學選修2.上課地點：邱一老師(W34-工五EE208)；田仲豪老師(W34-交映樓CY202)、3.3.欲加選此課程請EMAIL:yujucheng@nycu.edu.tw，並告知三班志願序，以及修課原因。,"Global Engineering Leadership Cultivation and Discovery
Optional Liberal EducationFCOMGECL",全球工程領袖培育及探索系列,40,40,"W34-CY202[GF],W34-EE208[GF]",2,2,邱一、田仲豪,,Elective,
70,,Center of General Education,College of Electrical and Computer Engineering,,,,,,,,,,,,,,
71,111 Fall Semester,Center of General Education,College of Electrical and Computer Engineering,510002,EEAE00002,電機院級(學)。通識校基本/博雅選修通識/基本素養-組織管理。 1.限大一、大二同學選修2.上課地點：蔡嘉明老師(W34-ED101)；桑梓賢老師(W34-ED303)、3.欲加選此課程請EMAIL:yujucheng@nycu.edu.tw，並告知三班志願序，以及修課原因。,"Global Engineering Leadership Cultivation and Discovery
Optional Liberal EducationFCOMGECL",全球工程領袖培育及探索系列,40,38,"W34-ED101[GF],W34-ED303[GF]",2,2,蔡嘉明、桑梓賢,,Elective,
72,,Center of General Education,College of Electrical and Computer Engineering,,,,,,,,,,,,,,
73,111 Fall Semester,Center of General Education,College of Electrical and Computer Engineering,510003,EEAE00004,電機院級(學) 核心通識-社會與經濟/通識核心/通識跨院/通識校基本/基本素養-量性推理 1.電機學院大三、大四優先 2.電機學院學生可列為跨院基本素養通識課程 。 應數.傳科系及管理學院不同意所屬學生採計通識學分,"Statistics
FCQRGECLGEC[ECE,CCS,COE,CI] GECI",統計學,100,100,M56R2-AB102[GF],3,3,彭南夫,,Elective,
74,,Center of General Education,College of Electrical and Computer Engineering,,,,,,,,,,,,,,
75,111 Fall Semester,Center of General Education,College of Electrical and Computer Engineering,510004,EEAE00004,電機院級(學) (院級課程)通識校基本/基本素養-量性推理/通識核心/通識跨院/核心通識-社會與經濟 1.電機學院大三、大四優先 2.電機學院學生可列為跨院基本素養通識課程。應數.傳科系及管理學院不同意所屬學生採計通識學分,"Statistics
FCQRGECLGEC[ECE,CCS,COE,CI] GECI",統計學,100,100,M56R2-AB101[GF],3,3,陳志榮,,Elective,
76,,Center of General Education,College of Electrical and Computer Engineering,,,,,,,,,,,,,,
77,111 Fall Semester,Center of General Education,College of Electrical and Computer Engineering,510005,EEEC10019,電機院級(學) 電機學院學生可列為跨院基本素養通識課程,"Modern Biology (I)
[ECE] GECIDAST",近代生物學 (一),60,60,T2F34-EE105[GF],3,3,梁美智、黃植懋、高智飛,,Elective,
78,,Center of General Education,Undergraduate Honors Program of Nano Science and Engineering,,,,,,,,,,,,,,
79,111 Fall Semester,Center of General Education,Undergraduate Honors Program of Nano Science and Engineering,516001,ENPN10008,奈米組必修／上課教室：工程五館548室,"General Biology
GECLGEC[COE,CHK,CI] GECIDAST",普通生物學,27,27,M567-,3,3,鄒協成、莊碧簪、梁美智,,Required,
80,,Center of General Education,Department of Mechanical Engineering,,,,,,,,,,,,,,
81,111 Fall Semester,Center of General Education,Department of Mechanical Engineering,516122,ENME20007,(太空學程) 開3/4年級,"Space Science & Technology Applications
Science, Technology and Society[CBT] GECIDAST",太空科技應用,130,130,Mab-CS100[GF],2,2,方振洲,,Elective,
82,,Center of General Education,Department of Mechanical Engineering,,,,,,,,,,,,,,
83,111 Fall Semester,Center of General Education,Department of Mechanical Engineering,516126,ENME20019,核心選修課程/ 開3/4年級,"Energy Technology
Science, Technology and Society[ECE,CCS,COM,CBT] GECIDAST",能源科技,105,107,Rabc-EE106[GF],3,3,陳慶耀,,Elective,
84,,Center of General Education,Department of Civil Engineering,,,,,,,,,,,,,,
85,111 Fall Semester,Center of General Education,Department of Civil Engineering,516220,ENCV20016,,"Engineering Statistics
[ECE,CCS,COS] GECI",工程統計學,100,90,M234-EB117[GF],3,3,趙韋安,,Elective,
86,111 Fall Semester,Center of General Education,Department of Civil Engineering,516225,ENCV10015,,"Hydrology
Science, Technology and Society[ECE,CCS,CBT] GECIDAST",水文學,45,57,T7F34-EB118[GF],3,3,張良正,,Required,
87,111 Fall Semester,Center of General Education,Department of Civil Engineering,516226,ENCV10015,[English Medium Course],"Hydrology
Science, Technology and Society[ECE,CCS,CBT] GECIDASTENG",水文學,45,22,T7F34-EB108[GF],3,3,楊尊華,,Required,
88,,Center of General Education,Department of Materials Science and Engineering,,,,,,,,,,,,,,
89,111 Fall Semester,Center of General Education,Department of Materials Science and Engineering,516304,ENMS10019,,"Introduction to Materials Science and Engineering (I)
GECLDAST",材料科學與工程導論 (一),80,85,R2F34-EF201[GF],3,3,陳智,,Required,
90,111 Fall Semester,Center of General Education,Department of Materials Science and Engineering,516317,ENMS10020,[English Medium Course],"Introduction to Materials Science and Engineering (I)
GECLDASTENG",材料科學與工程導論(一)(英文班),Unlimited,28,R2F34-SC204[GF],3,3,Winny Dong,,Required,
91,,Center of General Education,Undergraduate honors Program of Interdisciplinary Science,,,,,,,,,,,,,,
92,111 Fall Semester,Center of General Education,Undergraduate honors Program of Interdisciplinary Science,516502,SCDP10005,理學院科學學士學位學程班學生優先。人數上限：60 人,"General Biology(I)
GECLGEC[COS,CHK] GECIDAST",普通生物學(一),120,126,Wn56-SA321[GF],3,3,莊碧簪,,Required,
93,,Center of General Education,Department of Electro-Physics,,,,,,,,,,,,,,
94,111 Fall Semester,Center of General Education,Department of Electro-Physics,516611,SCEP00009,,"Service Learning II
GECLDASC",服務學習二:物理科普教育推廣,111,109,R56-SC106[GF],2,2,張文豪,,Required,
95,111 Fall Semester,Center of General Education,Department of Electro-Physics,516613,SCEP10011,遠距課程,"Logic Design
[COE,CI] GECIDL",邏輯設計,75,75,F56-SC158[GF],3,3,趙天生,,Elective,
96,,Center of General Education,Department of Electro-Physics,,,,,,,,,,,,,,
97,,Center of General Education,Department of Applied Chemistry,,,,,,,,,,,,,,
98,,Center of General Education,Department of Management Science,,,,,,,,,,,,,,
99,111 Fall Semester,Center of General Education,Department of Management Science,517304,MGMS10001,1.開放全校大三大四學生選修。,"Strategic Management
FCOMSociety and EconomyGECL[ECE,CCS,COE,COS,CBT,CHS,CI] GECI",策略管理,50,54,T567-M205[GF],3,3,黃瓊誼,,Elective,
100,,Center of General Education,Department of Information and Finance Management,,,,,,,,,,,,,,
101,111 Fall Semester,Center of General Education,Department of Information and Finance Management,517100,MGCM10018,管院管理基礎課程；主開大二資財系；上限100人，資財系大二、管科系大二必修；管院學生優先選課；輔開管理學院、管科系、工管系、運管系；工管系學生需自下列五門課(財務管理、行銷學、人力資源管理、管理資訊系統、物流運籌管理)任選一門為必修。運管系學生需自下列六門課(財務管理、行銷學、人力資源管理、管理資訊系統、資料庫管理、生產與作業管理)任選二門為必修。本學期本課程限管院學生選課。,"Financial Management
[ECE,CCS,COE,COS,CBT,CHS,CHK,CI] GECI",財務管理,100,120,T567-M-b10[GF],3,3,黃宜侯,,Required,
102,,Center of General Education,School of Law,,,,,,,,,,,,,,
103,,Center of General Education,I,,,,,,,,,,,,,,
104,111 Fall Semester,Center of General Education,I,519509,XDAP00008,,"The Power of Rules: How Could Rules Make the World?
Optional Liberal EducationGECLDACE",規則的力量:規則如何構成世界?,50,57,F34-SC162[GF],2,2,程源中,,Elective,
105,111 Fall Semester,Center of General Education,I,519510,XDAP00001,,"The Basics of Inquiry and Research of the Arete Honors Program: From Topic
Optional Liberal EducationFCCTGECL",專題探索的基本功-從選題到上台,Unlimited,42,T789-SC160[GF],3,3,安勤之,,Elective,
106,111 Fall Semester,Center of General Education,I,519511,XDAP00003,,"The Most Special Right? An Introduction to Freedom of Speech
GECDACE",最特殊的權利？言論自由初探,50,66,R567-SC162[GF],3,3,程源中,,Elective,
107,,Center of General Education,Undergraduate Degree Program of System Engineering and Technology,,,,,,,,,,,,,,
108,,Center of General Education,Liberal Arts College,,,,,,,,,,,,,,
109,111 Fall Semester,Center of General Education,Liberal Arts College,111002,NSDN10024,,"You can see, find and use the service of long term care
Optional Liberal EducationDASC",看得到、找得到、用得到,40,40,F56-YN418[YM],2,2,楊曼華、黃淑鶴、高蕭國帆、陳妙言、林昱宏、楊舒琴、王菀宣、葉又菁、林俐岑、賴鼎璁、柯澐蓁、楊桂鳳,,Required,
110,111 Fall Semester,Center of General Education,Liberal Arts College,161000,GECE00122,,"Digital Well-being
Optional Liberal EducationGECLDAST",數位安康,0,8,Myz-,2,2,蔡敦仁、侯君昊,,Core curriculum,
111,111 Fall Semester,Center of General Education,Liberal Arts College,161001,GECE00165,本課程為線上課程，全英語授課，為維持教學品質，限制修課人數。[English Medium Course],"Critical and Creative Thinking
FCCTPhilosophy and MindGECLENG",批判與創意思考,0,36,M56-,2,2,林映彤、顧醫華、嚴如玉、嚴偉哲、楊元傑,,Core curriculum,
112,,Center of General Education,Liberal Arts College,,,,,,,,,,,,,,
113,111 Fall Semester,Center of General Education,Liberal Arts College,161002,GECE00165,本課程為線上課程，全英語授課，為維持教學品質，限制修課人數。[English Medium Course],"Critical and Creative Thinking
FCCTPhilosophy and MindGECLENG",批判與創意思考,0,39,M9a-,2,2,嚴如玉、顧醫華、嚴偉哲、林映彤、楊元傑,,Core curriculum,
114,,Center of General Education,Liberal Arts College,,,,,,,,,,,,,,
115,111 Fall Semester,Center of General Education,Liberal Arts College,161003,GECE00165,本課程為線上課程，全英語授課，為維持教學品質，限制修課人數。[English Medium Course],"Critical and Creative Thinking
FCCTPhilosophy and MindGECLENG",批判與創意思考,0,38,T9a-,2,2,楊元傑、顧醫華、嚴如玉、嚴偉哲、林映彤,,Core curriculum,
116,,Center of General Education,Liberal Arts College,,,,,,,,,,,,,,
117,111 Fall Semester,Center of General Education,Liberal Arts College,161004,GECE00165,本課程為線上課程，全英語授課，為維持教學品質，限制修課人數。 [English Medium Course],"Critical and Creative Thinking
FCCTPhilosophy and MindGECLENG",批判與創意思考,0,40,R9a-,2,2,嚴偉哲、顧醫華、嚴如玉、林映彤、楊元傑,,Core curriculum,
118,,Center of General Education,Liberal Arts College,,,,,,,,,,,,,,
119,111 Fall Semester,Center of General Education,Liberal Arts College,161005,GECE00165,本課程為線上課程，全英語授課，為維持教學品質，限制修課人數。[English Medium Course],"Critical and Creative Thinking
FCCTPhilosophy and MindGECLENG",批判與創意思考,0,42,F56-,2,2,顧醫華、嚴如玉、嚴偉哲、林映彤、楊元傑,,Core curriculum,
120,,Center of General Education,Liberal Arts College,,,,,,,,,,,,,,
121,111 Fall Semester,Center of General Education,Liberal Arts College,161006,GECE00167,,"Selected Classical Love Poetry
Chinese LiteratureGECDAHA",古典情詩選讀,20,4,T12-YX202[YM],2,2,王小滕,,Core curriculum,
122,111 Fall Semester,Center of General Education,Liberal Arts College,161007,GECE00059,,"History and the Modern World
History and CivilizationsGECLDASC",歷史與現代世界,40,36,T12-YT104[YM],2,2,王文基,,Core curriculum,
123,111 Fall Semester,Center of General Education,Liberal Arts College,161008,GECE00169,,"Japanese Occupation of Taiwan Literature and Gender Issues
Optional Liberal EducationGECLDACE",日治時期臺灣文學與性別問題,30,30,T12-YT304[YM],2,2,王敬翔,,Core curriculum,
124,111 Fall Semester,Center of General Education,Liberal Arts College,161009,GECE00075,,"Economics
FCQRSociety and EconomyGEC",經濟學,60,72,T12-YT305[YM],2,2,周穎政、蒲正筠、梁立霖,,Core curriculum,
125,111 Fall Semester,Center of General Education,Liberal Arts College,161010,GECE00079,,"The History of Western Classical Music
Art and CulturesGECDAHA",西洋古典音樂史,40,33,T12-YX502[YM],2,2,林伶美,,Core curriculum,
126,111 Fall Semester,Center of General Education,Liberal Arts College,161011,GECE00006,,"introduction to cognitive neuroscience and its methodology
Philosophy and MindGECLDAST",人腦心智運作與歷程,40,44,T12-YL402[YM],2,2,郭文瑞,,Core curriculum,
127,111 Fall Semester,Center of General Education,Liberal Arts College,161012,GECE00008,,"Health Psychology and Stress Copings
FCLCPhilosophy and MindGECL",健康心理與壓力因應,0,68,T12-YT202[YM],2,2,程千芳,,Core curriculum,
128,111 Fall Semester,Center of General Education,Liberal Arts College,161013,GECE00089,,"Logic
FCCTPhilosophy and MindGEC",邏輯學,40,43,T12-YT206[YM],2,2,劉吉宴,,Core curriculum,
129,111 Fall Semester,Center of General Education,Liberal Arts College,161014,GECE00064,,"Environment, Economy and Society
Society and EconomyGECLDASC",環境﹑經濟與社會,40,16,T12-YT205[YM],2,2,錢克綱,,Core curriculum,
